Starting the artificial neural network
Attempting feature set: ['danceability', 'energy', 'liveness', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -4.89, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -4.52, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -4.41, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -4.37, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -4.31, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -4.31, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -4.29, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -4.27, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -4.29, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -4.30, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -4.26, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -4.25, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -4.25, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -4.27, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -4.27, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -4.29, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -4.32, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -4.33, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -4.28, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -4.27, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -4.28, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -4.28, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -4.24, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -4.28, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -4.28, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -4.28, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -4.26, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -4.30, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -4.29, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -4.28, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -4.30, time = 0.03s
Attempting feature set: ['energy', 'liveness', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -4.11, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.76, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.63, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.52, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.48, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.47, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.49, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -3.48, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -3.47, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.46, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.46, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -3.43, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -3.45, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -3.42, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.44, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.45, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.47, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -3.45, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -3.47, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -3.49, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -3.44, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -3.42, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -3.40, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -3.44, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -3.43, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -3.48, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -3.47, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -3.46, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -3.45, time = 0.03s
Attempting feature set: ['danceability', 'liveness', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -4.18, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.84, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.71, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.61, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.57, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.55, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.56, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.59, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -3.56, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -3.55, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.55, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.55, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -3.52, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -3.54, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.53, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.53, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.55, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -3.54, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -3.55, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -3.57, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -3.59, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -3.53, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -3.51, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -3.49, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -3.53, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -3.53, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -3.56, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -3.55, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -3.54, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -3.53, time = 0.03s
Attempting feature set: ['liveness', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -3.55, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.24, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.11, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.09, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.08, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.04, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.02, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -2.97, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -3.00, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -2.98, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -2.99, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -3.02, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -3.03, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -3.03, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -3.02, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -3.01, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -2.98, time = 0.03s
Attempting feature set: ['danceability', 'energy', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -4.33, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -4.03, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.93, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.86, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.84, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.80, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.83, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.83, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -3.80, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.78, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -3.76, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -3.76, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.78, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.78, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -3.80, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -3.78, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -3.77, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -3.77, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 27, pseudo-likelihood = -3.77, time = 0.03s
[BernoulliRBM] Iteration 28, pseudo-likelihood = -3.80, time = 0.04s
[BernoulliRBM] Iteration 29, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 30, pseudo-likelihood = -3.79, time = 0.03s
[BernoulliRBM] Iteration 31, pseudo-likelihood = -3.77, time = 0.03s
Attempting feature set: ['energy', 'loudness', 'speechiness', 'tempo', 'valence', 'instrumentalness', 'acousticness']
Training the classifier...
[BernoulliRBM] Iteration 1, pseudo-likelihood = -3.72, time = 0.01s
[BernoulliRBM] Iteration 2, pseudo-likelihood = -3.45, time = 0.03s
[BernoulliRBM] Iteration 3, pseudo-likelihood = -3.35, time = 0.03s
[BernoulliRBM] Iteration 4, pseudo-likelihood = -3.33, time = 0.03s
[BernoulliRBM] Iteration 5, pseudo-likelihood = -3.33, time = 0.03s
[BernoulliRBM] Iteration 6, pseudo-likelihood = -3.29, time = 0.03s
[BernoulliRBM] Iteration 7, pseudo-likelihood = -3.26, time = 0.03s
[BernoulliRBM] Iteration 8, pseudo-likelihood = -3.27, time = 0.03s
[BernoulliRBM] Iteration 9, pseudo-likelihood = -3.22, time = 0.03s
[BernoulliRBM] Iteration 10, pseudo-likelihood = -3.22, time = 0.03s
[BernoulliRBM] Iteration 11, pseudo-likelihood = -3.25, time = 0.03s
[BernoulliRBM] Iteration 12, pseudo-likelihood = -3.24, time = 0.03s
[BernoulliRBM] Iteration 13, pseudo-likelihood = -3.24, time = 0.03s
[BernoulliRBM] Iteration 14, pseudo-likelihood = -3.22, time = 0.03s
[BernoulliRBM] Iteration 15, pseudo-likelihood = -3.22, time = 0.03s
[BernoulliRBM] Iteration 16, pseudo-likelihood = -3.25, time = 0.03s
[BernoulliRBM] Iteration 17, pseudo-likelihood = -3.26, time = 0.03s
[BernoulliRBM] Iteration 18, pseudo-likelihood = -3.28, time = 0.03s
[BernoulliRBM] Iteration 19, pseudo-likelihood = -3.29, time = 0.03s
[BernoulliRBM] Iteration 20, pseudo-likelihood = -3.27, time = 0.03s
[BernoulliRBM] Iteration 21, pseudo-likelihood = -3.27, time = 0.03s
[BernoulliRBM] Iteration 22, pseudo-likelihood = -3.28, time = 0.03s
[BernoulliRBM] Iteration 23, pseudo-likelihood = -3.26, time = 0.03s
[BernoulliRBM] Iteration 24, pseudo-likelihood = -3.27, time = 0.03s
[BernoulliRBM] Iteration 25, pseudo-likelihood = -3.27, time = 0.03s
[BernoulliRBM] Iteration 26, pseudo-likelihood = -3.28, time = 0.03s
